away_team,home_team,map,away_main_dps_kills,away_main_dps_deaths,away_main_dps_ults,away_main_dps_kdr,away_flex_dps_kills,away_flex_dps_deaths,away_flex_dps_ults,away_flex_dps_kdr,away_main_support_kills,away_main_support_deaths,away_main_support_ults,away_main_support_kdr,away_flex_support_kills,away_flex_support_deaths,away_flex_support_ults,away_flex_support_kdr,away_main_tank_kills,away_main_tank_deaths,away_main_tank_ults,away_main_tank_kdr,away_flex_tank_kills,away_flex_tank_deaths,away_flex_tank_ults,away_flex_tank_kdr,home_main_dps_kills,hom_main_dps_deaths,hom_main_dps_ults,hom_main_dps_kdr,home_flex_dps_kills,hom_flex_dps_deaths,hom_flex_dps_ults,hom_flex_dps_kdr,home_main_support_kills,hom_main_support_deaths,hom_main_support_ults,hom_main_support_kdr,home_flex_support_kills,hom_flex_support_deaths,hom_flex_support_ults,hom_flex_support_kdr,home_main_tank_kills,hom_main_tank_deaths,hom_main_tank_ults,hom_main_tank_kdr,home_flex_tank_kills,hom_flex_tank_deaths,hom_flex_tank_ults,hom_flex_tank_kdr,away_team_goats,away_team_Winston_goats,away_team_sombra_goats,away_team_ana_goats,away_team_dive,away_team_wrecking_crew,home_team_goats,home_team_Winston_goats,home_team_sombra_goats,home_team_ana_goats,home_team_dive,home_team_wrecking_crew
WAS,NYE,1,3,7,4,-1,0,4,4,0,0,8,2,-5,2,6,4,-2,0,4,3,-3,1,6,4,-1,8,0,4,+3,4,2,3,0,7,2,5,+2,9,1,3,+4,1,0,3,+1,5,1,4,+2,1.0,0.0,0,0,0.0,0.0,0.653,0.347,0,0,0.0,0.0
WAS,NYE,2,0,3,2,-1,0,2,2,0,0,2,1,0,0,3,1,-1,0,1,1,0,0,1,2,-1,7,0,3,+1,0,0,2,0,1,0,2,0,3,0,1,+2,1,0,1,0,0,0,2,0,1.0,0.0,0,0,0.0,0.008,1.0,0.0,0,0.01,0.0,0.005
WAS,NYE,3,6,0,3,0,3,0,3,+1,5,3,1,+2,2,0,1,0,1,3,2,-2,4,1,3,0,1,3,2,0,5,3,3,+2,1,5,2,-1,0,4,2,0,0,2,2,-1,1,4,1,-1,1.0,0.0,0,0,0.0,0.0,0.29,0.09,0,0.003,0.029,0.281
WAS,NYE,4,2,5,3,-1,1,6,4,-2,2,6,3,0,0,4,3,0,1,5,3,-2,1,5,3,0,6,1,4,0,4,1,4,+1,4,1,5,0,11,1,4,+4,2,1,3,0,3,1,3,+1,1.0,-0.015,0,0,0.015,-0.007,1.0,-0.028,0,0,0.028,-0.014
VAL,HZS,1,15,5,6,+4,2,7,7,0,7,7,5,-4,4,4,3,+1,5,5,3,+1,4,6,5,0,6,8,5,0,4,6,6,-2,4,7,7,-1,12,8,6,+1,4,3,3,-1,3,6,7,+1,0.713,0.287,0.001,0,0.001,-0.001,1.0,0.0,0,0,0.0,0.0
VAL,HZS,2,14,4,5,+1,7,4,7,0,10,4,8,+3,10,3,6,+1,4,3,4,+1,13,3,8,+2,5,10,4,-1,1,12,7,-3,9,11,8,0,1,8,7,0,3,9,4,-2,2,8,7,-2,0.438,0.417,0,0,0.145,-0.145,0.431,0.399,0,0.001,0.17,-0.17
VAL,HZS,3,15,5,10,0,11,9,11,+3,7,10,10,-6,17,3,9,+2,2,8,6,0,3,7,9,+1,12,8,8,+3,5,12,8,-1,9,15,8,-1,6,6,7,0,7,7,7,-1,4,6,10,0,0.787,0.213,0,0.005,0.0,0.0,0.955,-0.017,0,0.044,0.017,0.024
VAL,HZS,4,2,9,6,-1,1,11,8,-1,6,12,7,-2,4,7,7,+1,6,9,6,-3,4,8,9,-1,12,3,8,+2,11,4,9,+1,7,6,6,+1,12,3,7,+2,7,2,8,+1,6,4,7,0,0.73,-0.082,0,0,0.208,-0.104,0.839,-0.16,0,0,0.16,-0.081
VAL,HZS,5,7,5,6,+1,11,8,7,-1,9,10,5,0,5,5,4,+2,4,7,4,-1,9,8,7,0,15,8,5,+1,4,9,7,-1,3,8,6,-3,11,7,7,+2,4,6,5,0,4,8,7,0,0.602,0.39,0,0,0.008,-0.004,0.673,-0.193,0,0,0.257,-0.257
VAN, SHD,1,10,5,3,0,11,5,6,+3,5,8,4,-4,3,4,3,+1,1,4,4,0,3,7,5,-3,10,7,8,+3,10,7,8,+3,8,5,5,0,4,2,7,+2,6,6,3,0,3,7,5,+1,0.247,0.634,0,0,0.118,-0.118,0.0,0.0,0,0,0.0,2.953
